120.83.111.64  ,9999 ,高匿   ,HTTP ,广东揭阳市普宁
113.121.23.195 ,32356,高匿   ,HTTPS,山东
112.85.129.150 ,9999 ,高匿   ,HTTPS,江苏南通
123.132.232.254,37638,高匿   ,HTTPS,山东临沂
113.87.202.170 ,8118 ,高匿   ,HTTPS,广东深圳
112.87.69.131  ,9999 ,高匿   ,HTTP ,江苏宿迁
222.189.144.183,9999 ,高匿   ,HTTPS,江苏扬州
125.115.182.7  ,3128 ,高匿   ,HTTPS,浙江宁波
112.85.167.174 ,9999 ,高匿   ,HTTPS,江苏南通
112.85.130.136 ,9999 ,高匿   ,HTTPS,江苏南通
113.121.22.134 ,9999 ,高匿   ,HTTP ,山东
112.85.171.83  ,9999 ,高匿   ,HTTPS,江苏南通
112.85.175.73  ,9999 ,高匿   ,HTTPS,江苏南通
163.204.240.98 ,9999 ,高匿   ,HTTP ,广东
163.204.242.208,9999 ,高匿   ,HTTP ,广东
112.85.128.181 ,9999 ,高匿   ,HTTPS,江苏南通
117.95.199.249 ,9999 ,高匿   ,HTTPS,江苏宿迁
163.204.242.168,9999 ,高匿   ,HTTP ,广东
182.34.19.52   ,8010 ,高匿   ,HTTPS,山东烟台
61.183.176.122 ,53281,高匿   ,HTTPS,湖北武汉
106.12.217.43  ,8118 ,高匿   ,HTTP ,
114.225.220.230,9999 ,高匿   ,HTTPS,江苏无锡
113.116.51.250 ,8118 ,高匿   ,HTTP ,广东深圳
112.85.151.126 ,9999 ,高匿   ,HTTP ,江苏南通
175.148.76.161 ,1133 ,高匿   ,HTTP ,辽宁葫芦岛
1.192.240.233  ,9999 ,高匿   ,HTTP ,河南郑州
120.83.98.236  ,808  ,高匿   ,HTTPS,广东揭阳市普宁
112.85.175.151 ,9999 ,高匿   ,HTTPS,江苏南通
1.192.243.49   ,9999 ,高匿   ,HTTPS,河南郑州
125.123.140.92 ,9999 ,高匿   ,HTTP ,浙江嘉兴
119.176.169.232,9999 ,高匿   ,HTTP ,山东临沂
117.63.1.132   ,9999 ,高匿   ,HTTP ,江苏常州
123.188.216.206,9999 ,高匿   ,HTTP ,辽宁
182.34.22.237  ,9999 ,高匿   ,HTTP ,山东烟台
117.90.252.9   ,9999 ,高匿   ,HTTP ,江苏镇江
219.142.132.146,40655,高匿   ,HTTPS,北京
180.116.59.70  ,9999 ,高匿   ,HTTP ,江苏常州
117.81.103.221 ,9999 ,高匿   ,HTTPS,江苏苏州
112.85.131.205 ,9999 ,高匿   ,HTTP ,江苏南通
27.40.155.173  ,9999 ,高匿   ,HTTPS,广东湛江
110.73.0.121   ,8123 ,高匿   ,HTTP ,广西防城港
163.204.241.210,9999 ,高匿   ,HTTP ,广东
113.124.84.132 ,9999 ,高匿   ,HTTP ,山东烟台
123.163.96.118 ,9999 ,高匿   ,HTTP ,河南洛阳
163.204.244.219,9999 ,高匿   ,HTTP ,广东
124.94.195.29  ,9999 ,高匿   ,HTTP ,辽宁阜新
1.192.240.103  ,9999 ,高匿   ,HTTP ,河南郑州
163.204.244.39 ,9999 ,高匿   ,HTTPS,广东
49.86.177.170  ,9999 ,高匿   ,HTTP ,江苏
111.177.186.211,9999 ,高匿   ,HTTPS,湖北随州
112.87.69.147  ,9999 ,高匿   ,HTTPS,江苏宿迁
113.121.21.69  ,9999 ,高匿   ,HTTPS,山东
112.85.151.7   ,9999 ,高匿   ,HTTP ,江苏南通
112.85.173.34  ,9999 ,高匿   ,HTTP ,江苏南通
112.87.65.173  ,9999 ,高匿   ,HTTP ,江苏宿迁
113.121.21.39  ,9999 ,高匿   ,HTTP ,山东
115.53.32.229  ,9999 ,高匿   ,HTTP ,河南濮阳
125.115.182.54 ,3128 ,高匿   ,HTTP ,浙江宁波
218.73.141.167 ,9999 ,高匿   ,HTTP ,浙江温州
112.87.69.112  ,9999 ,高匿   ,HTTP ,江苏宿迁
112.85.131.217 ,9999 ,高匿   ,HTTPS,江苏南通
123.8.123.129  ,9999 ,高匿   ,HTTP ,河南濮阳
171.80.3.14    ,9999 ,高匿   ,HTTP ,
123.163.97.169 ,9999 ,高匿   ,HTTPS,河南洛阳
113.121.20.205 ,9999 ,高匿   ,HTTP ,山东烟台市莱阳
112.85.172.87  ,9999 ,高匿   ,HTTPS,江苏南通
112.85.131.195 ,9999 ,高匿   ,HTTPS,江苏南通
163.204.242.85 ,9999 ,高匿   ,HTTPS,广东
123.245.1.115  ,808  ,高匿   ,HTTP ,辽宁沈阳
163.204.241.44 ,9999 ,高匿   ,HTTP ,广东
171.80.2.103   ,9999 ,高匿   ,HTTP ,
163.204.241.97 ,9999 ,高匿   ,HTTP ,广东
163.204.244.103,9999 ,高匿   ,HTTP ,广东
112.85.129.233 ,9999 ,高匿   ,HTTP ,江苏南通
210.5.10.87    ,53281,高匿   ,HTTPS,广东广州
112.85.168.36  ,9999 ,高匿   ,HTTPS,江苏南通
112.87.70.90   ,9999 ,高匿   ,HTTPS,江苏宿迁
112.85.131.108 ,9999 ,高匿   ,HTTPS,江苏南通
116.208.52.229 ,9999 ,高匿   ,HTTPS,湖北襄阳
223.241.116.102,8010 ,高匿   ,HTTP ,安徽
112.87.68.252  ,9999 ,高匿   ,HTTP ,江苏宿迁
112.85.170.80  ,9999 ,高匿   ,HTTP ,江苏南通
219.157.144.246,8118 ,高匿   ,HTTPS,河南郑州
117.68.190.38  ,8118 ,高匿   ,HTTP ,安徽合肥市巢湖
113.121.22.218 ,9999 ,高匿   ,HTTP ,山东
101.132.131.158,8118 ,高匿   ,HTTPS,北京
171.83.166.67  ,9999 ,高匿   ,HTTPS,
163.204.247.209,9999 ,高匿   ,HTTPS,广东
120.83.108.177 ,9999 ,高匿   ,HTTPS,广东揭阳市普宁
163.204.242.229,9999 ,高匿   ,HTTP ,广东
49.86.178.40   ,9999 ,高匿   ,HTTP ,江苏
1.197.16.50    ,9999 ,高匿   ,HTTP ,河南许昌
111.177.113.59 ,9999 ,高匿   ,HTTPS,湖北襄阳
112.85.173.216 ,9999 ,高匿   ,HTTPS,江苏南通
124.94.195.110 ,9999 ,高匿   ,HTTPS,辽宁阜新
120.83.104.224 ,9999 ,高匿   ,HTTPS,广东揭阳
223.241.118.34 ,8010 ,高匿   ,HTTPS,安徽
112.85.151.160 ,9999 ,高匿   ,HTTP ,江苏南通
27.195.216.21  ,8118 ,高匿   ,HTTP ,山东淄博
49.86.182.201  ,9999 ,高匿   ,HTTP ,江苏
163.204.243.245,9999 ,高匿   ,HTTP ,广东
182.34.32.196  ,9999 ,高匿   ,HTTP ,山东烟台
112.85.171.216 ,9999 ,高匿   ,HTTP ,江苏南通
112.85.167.84  ,9999 ,高匿   ,HTTP ,江苏南通
163.204.243.65 ,9999 ,高匿   ,HTTP ,广东
112.85.170.153 ,9999 ,高匿   ,HTTPS,江苏南通
115.219.111.189,8010 ,高匿   ,HTTPS,浙江温州
171.37.156.252 ,8123 ,高匿   ,HTTPS,广西
117.85.49.31   ,9999 ,高匿   ,HTTPS,江苏无锡
122.193.244.2  ,9999 ,高匿   ,HTTP ,江苏南通
112.85.169.206 ,9999 ,高匿   ,HTTP ,江苏南通
112.85.131.34  ,9999 ,高匿   ,HTTPS,江苏南通
120.83.111.241 ,9999 ,高匿   ,HTTPS,广东揭阳市普宁
116.208.52.85  ,9999 ,高匿   ,HTTP ,湖北襄阳
112.85.171.43  ,9999 ,高匿   ,HTTPS,江苏南通
49.89.86.227   ,9999 ,高匿   ,HTTPS,江苏宿迁
112.85.148.89  ,9999 ,高匿   ,HTTPS,江苏南通
122.193.244.108,9999 ,高匿   ,HTTP ,江苏南通
120.79.5.147   ,80   ,高匿   ,HTTPS,长城宽带
112.85.175.107 ,9999 ,高匿   ,HTTPS,江苏南通
112.85.170.246 ,9999 ,高匿   ,HTTP ,江苏南通
112.85.130.70  ,9999 ,高匿   ,HTTPS,江苏南通
112.85.170.13  ,9999 ,高匿   ,HTTPS,江苏南通
122.193.246.57 ,9999 ,高匿   ,HTTP ,江苏南通
112.85.167.171 ,9999 ,高匿   ,HTTPS,江苏南通
112.85.130.230 ,9999 ,高匿   ,HTTPS,江苏南通
59.52.186.99   ,808  ,高匿   ,HTTPS,江西南昌
183.191.90.20  ,80   ,高匿   ,HTTPS,山西运城
221.9.131.142  ,80   ,高匿   ,HTTPS,吉林四平
112.85.167.150 ,9999 ,高匿   ,HTTPS,江苏南通
112.85.170.71  ,9999 ,高匿   ,HTTPS,江苏南通
112.85.175.92  ,9999 ,高匿   ,HTTP ,江苏南通
115.223.83.88  ,8010 ,高匿   ,HTTPS,浙江温州
123.169.34.62  ,9999 ,高匿   ,HTTPS,山东烟台
125.115.180.2  ,3128 ,高匿   ,HTTP ,浙江宁波
116.208.52.54  ,9999 ,高匿   ,HTTP ,湖北襄阳
163.204.240.224,9999 ,高匿   ,HTTP ,广东
117.91.249.84  ,9999 ,高匿   ,HTTP ,江苏扬州
222.188.140.141,9999 ,高匿   ,HTTP ,江苏常州
163.204.246.244,9999 ,高匿   ,HTTP ,广东
180.103.192.24 ,9999 ,高匿   ,HTTP ,江苏淮安
112.85.173.235 ,9999 ,高匿   ,HTTP ,江苏南通
49.74.130.16   ,8123 ,高匿   ,HTTP ,江苏南京
121.228.36.188 ,9999 ,高匿   ,HTTPS,江苏苏州
114.227.37.205 ,8118 ,高匿   ,HTTP ,江苏常州
112.85.128.20  ,9999 ,高匿   ,HTTP ,江苏南通
125.115.182.20 ,3128 ,高匿   ,HTTPS,浙江宁波
113.116.156.187,8118 ,高匿   ,HTTPS,广东深圳
112.85.170.0   ,9999 ,高匿   ,HTTP ,江苏南通
120.83.99.199  ,9999 ,高匿   ,HTTPS,广东揭阳市普宁
1.193.244.15   ,9999 ,高匿   ,HTTPS,河南洛阳
1.192.241.157  ,9999 ,高匿   ,HTTPS,河南郑州
115.53.21.181  ,9999 ,高匿   ,HTTPS,河南濮阳
1.198.110.165  ,9999 ,高匿   ,HTTPS,河南
59.32.37.237   ,61234,高匿   ,HTTP ,广东河源
112.85.150.44  ,9999 ,高匿   ,HTTP ,江苏南通
124.93.201.59  ,59618,高匿   ,HTTPS,辽宁大连
